frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
75.0,0.9534807,0.83650434,0.9267891,0.43887788,0.78460723,0.98831767,0.99202865,0.9434424,0.970949,0.9292684,0.95719945,0.99573934,0.99656194,0.9946903,0.9959045,0.9878312,0.9898039
76.0,0.9532312,0.83511317,0.92690635,0.435914,0.78637195,0.98827016,0.9919843,0.94329625,0.97082514,0.9291056,0.9570392,0.99571806,0.99653864,0.99466777,0.99587774,0.98779327,0.9897497
77.0,0.95394325,0.8372936,0.92784137,0.43856344,0.7873407,0.98830086,0.99210924,0.94323194,0.97131675,0.9292505,0.95769256,0.9956939,0.99654824,0.99460113,0.9958633,0.9876079,0.98966485
78.0,0.9548389,0.8429116,0.92750156,0.4510764,0.78144825,0.9886531,0.9920793,0.9455013,0.9709373,0.93169045,0.9574556,0.995738,0.99651766,0.9946062,0.99578273,0.98751605,0.98943543
79.0,0.9544101,0.84509045,0.9245501,0.4620469,0.7701667,0.98891675,0.9918826,0.9473214,0.969788,0.93320936,0.95609766,0.9958515,0.9965193,0.9947615,0.99579006,0.98784536,0.98951006
80.0,0.95496595,0.8556736,0.9199224,0.4941707,0.7450602,0.9897272,0.99125683,0.95255697,0.96566296,0.937955,0.95142287,0.99601644,0.9963497,0.99492574,0.99552286,0.9880761,0.98897904
81.0,0.9552341,0.8589415,0.9189964,0.5033075,0.73924375,0.9900483,0.9910952,0.95472497,0.9645613,0.940181,0.95035267,0.9960996,0.9963159,0.99500316,0.99544215,0.988162,0.9887838
82.0,0.9554412,0.8584901,0.91983116,0.5012311,0.74261737,0.9900703,0.9912702,0.95455617,0.96544033,0.9400883,0.951358,0.9961288,0.9963826,0.9950324,0.9955224,0.9882108,0.9889282
83.0,0.9555121,0.8486152,0.925403,0.47884774,0.77011776,0.9879701,0.99196774,0.94362676,0.9712603,0.9322775,0.9592991,0.99458426,0.995996,0.99288046,0.995159,0.98371387,0.98742294
84.0,0.95566094,0.8473687,0.9269698,0.47167522,0.7756537,0.98772687,0.99205256,0.94260347,0.9720375,0.9317321,0.9603428,0.99450016,0.9960032,0.992773,0.99517053,0.983469,0.9873941
85.0,0.9558148,0.8458249,0.9287527,0.46387234,0.78275204,0.98757964,0.99219865,0.9420159,0.9730182,0.9316112,0.96163327,0.9944818,0.99605584,0.9927602,0.99523973,0.98339766,0.9874845
86.0,0.955868,0.8521302,0.92588574,0.47278857,0.76715744,0.9892352,0.9917854,0.9495634,0.96904993,0.9358018,0.9555688,0.9958652,0.99644095,0.9947408,0.99565244,0.9876807,0.9891424
87.0,0.9557334,0.8388512,0.93218946,0.44186717,0.7988822,0.9868066,0.9925485,0.9366389,0.97497046,0.9269738,0.9637375,0.99424297,0.9961333,0.99249953,0.995385,0.9829837,0.9877787
88.0,0.9556851,0.8393081,0.931686,0.44425708,0.7972451,0.9869179,0.99246323,0.9377214,0.97465265,0.92801523,0.96344095,0.9942238,0.99607265,0.9924218,0.9952785,0.9826912,0.9874507
89.0,0.95528674,0.8422118,0.9295866,0.4539685,0.7885194,0.98728836,0.9920746,0.9404451,0.97265244,0.9300111,0.96110016,0.9943433,0.9959655,0.99259347,0.995142,0.98303264,0.9872169
90.0,0.9557192,0.8536767,0.92514676,0.47580653,0.7630525,0.98935634,0.991447,0.951242,0.96761036,0.93765837,0.95426047,0.9959139,0.9963677,0.9948664,0.995606,0.9879683,0.98911405
91.0,0.9554221,0.8414413,0.9305452,0.45029023,0.79198456,0.98706543,0.9922013,0.9390949,0.97338563,0.92896545,0.96195924,0.9942471,0.9959776,0.9924697,0.9951605,0.9827832,0.98722535
92.0,0.95551395,0.84047896,0.93090236,0.44778886,0.7933522,0.9867714,0.9923908,0.9370813,0.9744298,0.92732185,0.96315455,0.994138,0.9960233,0.9923127,0.9952238,0.98250544,0.9873537
93.0,0.9552662,0.84444463,0.92783284,0.46375054,0.7811798,0.9873675,0.99210703,0.9406313,0.97262716,0.92995757,0.9609579,0.9943341,0.9959657,0.99252456,0.99511045,0.9828252,0.9871057
94.0,0.9557824,0.8581936,0.9220386,0.49506506,0.74935067,0.9897127,0.9913598,0.95269436,0.96637326,0.9384726,0.95251226,0.9959559,0.9963217,0.99482286,0.99546546,0.9877572,0.9887467
95.0,0.9558548,0.8626234,0.91931623,0.51072365,0.7357711,0.9900585,0.99107563,0.9551856,0.9645666,0.9409646,0.95060885,0.99604553,0.9962604,0.9949222,0.9953615,0.9879231,0.98855376
96.0,0.9560772,0.86296034,0.9201305,0.50958455,0.737962,0.99003464,0.99108815,0.9552344,0.96479434,0.9411714,0.95097613,0.99600947,0.9962328,0.9948561,0.99530715,0.9877153,0.9883646
97.0,0.955742,0.8670212,0.9152911,0.5298361,0.7183599,0.9905708,0.99070007,0.95844513,0.9620347,0.94409573,0.9478751,0.99618655,0.9961909,0.9950595,0.9952173,0.98809636,0.98822474
98.0,0.9552201,0.84383196,0.9272928,0.46719438,0.7815309,0.9874628,0.9922765,0.9394332,0.9727604,0.9281294,0.96068794,0.99434304,0.9960162,0.9925097,0.995169,0.98293257,0.9873274
99.0,0.9551905,0.8382477,0.9304976,0.4482178,0.79589504,0.98687613,0.9925236,0.9355027,0.9742765,0.92480415,0.9624119,0.9941666,0.996071,0.99234855,0.9952886,0.9827632,0.98762405
